Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Södertälje;97120;SMHIs stationsnät;2.0
;;;
;;;
Från Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1962-11-01 00:00;nov-62;1.7;Y
1962-12-01 00:00;dec-62;-3.5;Y
1963-01-01 00:00;jan-63;-8.5;Y
1963-02-01 00:00;feb-63;-7.9;Y
1963-03-01 00:00;mars-63;-3.7;Y
1963-04-01 00:00;apr-63;3.7;Y
1963-05-01 00:00;maj-63;12.1;Y
1963-06-01 00:00;juni-63;15.0;Y
1963-07-01 00:00;juli-63;17.0;Y
1963-08-01 00:00;aug-63;15.8;Y
1963-09-01 00:00;sep-63;12.3;Y
1963-10-01 00:00;okt-63;7.0;Y
1963-11-01 00:00;nov-63;2.6;Y
1963-12-01 00:00;dec-63;-2.0;Y
1964-01-01 00:00;jan-64;-1.7;Y
1964-02-01 00:00;feb-64;-3.8;Y
1964-03-01 00:00;mars-64;-1.5;Y
1964-04-01 00:00;apr-64;5.1;Y
1964-05-01 00:00;maj-64;11.8;Y
1964-06-01 00:00;juni-64;14.7;Y
1964-07-01 00:00;juli-64;16.3;Y
1964-08-01 00:00;aug-64;14.7;Y
1964-09-01 00:00;sep-64;11.0;Y
1964-10-01 00:00;okt-64;6.9;Y
1964-11-01 00:00;nov-64;2.0;Y
1964-12-01 00:00;dec-64;-1.2;Y
1965-01-01 00:00;jan-65;-1.8;Y
1965-02-01 00:00;feb-65;-4.0;Y
1965-03-01 00:00;mars-65;-1.3;Y
1965-04-01 00:00;apr-65;4.2;Y
1965-05-01 00:00;maj-65;8.5;Y
1965-06-01 00:00;juni-65;14.9;Y
1965-07-01 00:00;juli-65;14.8;Y
1965-08-01 00:00;aug-65;14.3;Y
1965-09-01 00:00;sep-65;12.7;Y
1965-10-01 00:00;okt-65;7.4;Y
1965-11-01 00:00;nov-65;-2.0;Y
1965-12-01 00:00;dec-65;-4.1;Y
1966-01-01 00:00;jan-66;-7.3;Y
1966-02-01 00:00;feb-66;-10.6;Y
1966-03-01 00:00;mars-66;-0.5;Y
1966-04-01 00:00;apr-66;1.2;Y
1966-05-01 00:00;maj-66;10.3;Y
1966-06-01 00:00;juni-66;17.6;Y
1966-07-01 00:00;juli-66;17.5;Y
1966-08-01 00:00;aug-66;14.9;Y
1966-09-01 00:00;sep-66;10.8;Y
1966-10-01 00:00;okt-66;6.1;Y
1966-11-01 00:00;nov-66;2.4;Y
1966-12-01 00:00;dec-66;0.1;Y
1967-01-01 00:00;jan-67;-4.9;Y
1967-02-01 00:00;feb-67;-0.9;Y
1967-03-01 00:00;mars-67;3.1;Y
1967-04-01 00:00;apr-67;4.8;Y
1967-05-01 00:00;maj-67;9.4;Y
1967-06-01 00:00;juni-67;14.5;Y
1967-07-01 00:00;juli-67;17.4;Y
1967-08-01 00:00;aug-67;16.0;Y
1967-09-01 00:00;sep-67;12.2;Y
1967-10-01 00:00;okt-67;8.7;Y
1967-11-01 00:00;nov-67;3.9;Y
1967-12-01 00:00;dec-67;-4.1;Y
1968-01-01 00:00;jan-68;-7.0;Y
1968-02-01 00:00;feb-68;-4.3;Y
1968-03-01 00:00;mars-68;1.1;Y
1968-04-01 00:00;apr-68;6.8;Y
1968-05-01 00:00;maj-68;8.5;Y
1968-06-01 00:00;juni-68;17.0;Y
1968-07-01 00:00;juli-68;15.9;Y
1968-08-01 00:00;aug-68;16.8;Y
1968-09-01 00:00;sep-68;12.4;Y
1968-10-01 00:00;okt-68;5.7;Y
1968-11-01 00:00;nov-68;0.8;Y
1968-12-01 00:00;dec-68;-1.6;Y
1969-01-01 00:00;jan-69;-2.5;Y
1969-02-01 00:00;feb-69;-5.5;Y
1969-03-01 00:00;mars-69;-4.2;Y
1969-04-01 00:00;apr-69;4.3;Y
1969-05-01 00:00;maj-69;9.7;Y
1969-06-01 00:00;juni-69;17.0;Y
1969-07-01 00:00;juli-69;18.4;Y
1969-08-01 00:00;aug-69;17.9;Y
1969-09-01 00:00;sep-69;12.1;Y
1969-10-01 00:00;okt-69;7.7;Y
1969-11-01 00:00;nov-69;1.0;Y
1969-12-01 00:00;dec-69;-3.9;Y
1970-01-01 00:00;jan-70;-7.9;Y
1970-02-01 00:00;feb-70;-10.6;Y
1970-03-01 00:00;mars-70;-0.8;Y
1970-04-01 00:00;apr-70;2.4;Y
1970-05-01 00:00;maj-70;10.2;Y
1970-06-01 00:00;juni-70;17.5;Y
1970-07-01 00:00;juli-70;15.6;Y
1970-08-01 00:00;aug-70;16.4;Y
1970-09-01 00:00;sep-70;11.5;Y
1970-10-01 00:00;okt-70;6.9;Y
1970-11-01 00:00;nov-70;0.9;Y
1970-12-01 00:00;dec-70;-0.5;Y
1971-01-01 00:00;jan-71;-0.9;Y
1971-02-01 00:00;feb-71;-0.9;Y
1971-03-01 00:00;mars-71;-1.9;Y
1971-04-01 00:00;apr-71;3.8;Y
1971-05-01 00:00;maj-71;11.8;Y
1971-06-01 00:00;juni-71;14.8;Y
1971-07-01 00:00;juli-71;17.4;Y
1971-08-01 00:00;aug-71;16.0;Y
1971-09-01 00:00;sep-71;10.9;Y
1971-10-01 00:00;okt-71;7.2;Y
1971-11-01 00:00;nov-71;0.9;Y
1971-12-01 00:00;dec-71;1.1;Y
1972-01-01 00:00;jan-72;-3.7;Y
1972-02-01 00:00;feb-72;-0.5;Y
1972-03-01 00:00;mars-72;0.8;Y
1972-04-01 00:00;apr-72;3.9;Y
1972-05-01 00:00;maj-72;9.9;Y
1972-06-01 00:00;juni-72;16.4;Y
1972-07-01 00:00;juli-72;19.9;Y
1972-08-01 00:00;aug-72;16.2;Y
1972-09-01 00:00;sep-72;10.9;Y
1972-10-01 00:00;okt-72;7.2;Y
1972-11-01 00:00;nov-72;3.7;Y
1972-12-01 00:00;dec-72;3.7;Y
1973-01-01 00:00;jan-73;1.2;Y
1973-02-01 00:00;feb-73;-0.2;Y
1973-03-01 00:00;mars-73;3.6;Y
1973-04-01 00:00;apr-73;4.2;Y
1973-05-01 00:00;maj-73;11.1;Y
1973-06-01 00:00;juni-73;17.1;Y
1973-07-01 00:00;juli-73;19.6;Y
1973-08-01 00:00;aug-73;16.2;Y
1973-09-01 00:00;sep-73;10.5;Y
1973-10-01 00:00;okt-73;4.6;Y
1973-11-01 00:00;nov-73;-0.5;Y
1973-12-01 00:00;dec-73;-2.1;Y
1974-01-01 00:00;jan-74;0.8;Y
1974-02-01 00:00;feb-74;0.9;Y
1974-03-01 00:00;mars-74;1.1;Y
1974-04-01 00:00;apr-74;6.1;Y
1974-05-01 00:00;maj-74;9.7;Y
1974-06-01 00:00;juni-74;15.2;Y
1974-07-01 00:00;juli-74;15.3;Y
1974-08-01 00:00;aug-74;15.9;Y
1974-09-01 00:00;sep-74;13.0;Y
1974-10-01 00:00;okt-74;6.1;Y
1974-11-01 00:00;nov-74;3.9;Y
1974-12-01 00:00;dec-74;1.5;Y
1975-01-01 00:00;jan-75;1.9;Y
1975-02-01 00:00;feb-75;-0.4;Y
1975-03-01 00:00;mars-75;1.4;Y
1975-04-01 00:00;apr-75;4.5;Y
1975-05-01 00:00;maj-75;11.4;Y
1975-06-01 00:00;juni-75;14.7;Y
1975-07-01 00:00;juli-75;18.5;Y
1975-08-01 00:00;aug-75;18.9;Y
1975-09-01 00:00;sep-75;13.9;Y
1975-10-01 00:00;okt-75;7.8;Y
1975-11-01 00:00;nov-75;3.8;Y
1975-12-01 00:00;dec-75;1.2;Y
1976-01-01 00:00;jan-76;-4.7;Y
1976-02-01 00:00;feb-76;-1.6;Y
1976-03-01 00:00;mars-76;-2.3;Y
1976-04-01 00:00;apr-76;4.4;Y
1976-05-01 00:00;maj-76;10.5;Y
1976-06-01 00:00;juni-76;14.9;Y
1976-07-01 00:00;juli-76;17.2;Y
1976-08-01 00:00;aug-76;16.6;Y
1976-09-01 00:00;sep-76;9.7;Y
1976-10-01 00:00;okt-76;6.2;Y
1976-11-01 00:00;nov-76;2.9;Y
1976-12-01 00:00;dec-76;-2.3;Y
1977-01-01 00:00;jan-77;-1.6;Y
1977-02-01 00:00;feb-77;-4.2;Y
1977-03-01 00:00;mars-77;1.1;Y
1977-04-01 00:00;apr-77;2.9;Y
1977-05-01 00:00;maj-77;10.1;Y
1977-06-01 00:00;juni-77;15.0;Y
1977-07-01 00:00;juli-77;14.6;Y
1977-08-01 00:00;aug-77;15.2;Y
1977-09-01 00:00;sep-77;10.1;Y
1977-10-01 00:00;okt-77;8.2;Y
1977-11-01 00:00;nov-77;3.8;Y
1977-12-01 00:00;dec-77;0.4;Y
1978-01-01 00:00;jan-78;-0.9;Y
1978-02-01 00:00;feb-78;-5.2;Y
1978-03-01 00:00;mars-78;-0.8;Y
1978-04-01 00:00;apr-78;3.4;Y
1978-05-01 00:00;maj-78;10.0;Y
1978-06-01 00:00;juni-78;15.0;Y
1978-07-01 00:00;juli-78;15.7;Y
1978-08-01 00:00;aug-78;15.6;Y
1978-09-01 00:00;sep-78;10.1;Y
1978-10-01 00:00;okt-78;6.8;Y
1978-11-01 00:00;nov-78;5.3;Y
1978-12-01 00:00;dec-78;-5.7;Y
1979-01-01 00:00;jan-79;-6.7;Y
1979-02-01 00:00;feb-79;-6.1;Y
1979-03-01 00:00;mars-79;-0.0;Y
1979-04-01 00:00;apr-79;3.8;Y
1979-05-01 00:00;maj-79;10.6;Y
1979-06-01 00:00;juni-79;16.8;Y
1979-07-01 00:00;juli-79;15.2;Y
1979-08-01 00:00;aug-79;15.7;Y
1979-09-01 00:00;sep-79;11.5;Y
1979-10-01 00:00;okt-79;5.6;Y
1979-11-01 00:00;nov-79;3.3;Y
1979-12-01 00:00;dec-79;-1.1;Y
1980-01-01 00:00;jan-80;-3.8;Y
1980-02-01 00:00;feb-80;-5.7;Y
1980-03-01 00:00;mars-80;-2.4;Y
1980-04-01 00:00;apr-80;5.3;Y
1980-05-01 00:00;maj-80;9.0;Y
1980-06-01 00:00;juni-80;16.2;Y
1980-07-01 00:00;juli-80;17.6;Y
1980-08-01 00:00;aug-80;15.3;Y
1980-09-01 00:00;sep-80;12.9;Y
1980-10-01 00:00;okt-80;6.0;Y
1980-11-01 00:00;nov-80;-0.0;Y
1980-12-01 00:00;dec-80;-0.1;Y
1981-01-01 00:00;jan-81;-3.3;Y
1981-02-01 00:00;feb-81;-1.9;Y
1981-03-01 00:00;mars-81;-1.3;Y
1981-04-01 00:00;apr-81;4.6;Y
1981-05-01 00:00;maj-81;12.2;Y
1981-06-01 00:00;juni-81;13.6;Y
1981-07-01 00:00;juli-81;16.9;Y
1981-08-01 00:00;aug-81;15.2;Y
1981-09-01 00:00;sep-81;12.2;Y
1981-10-01 00:00;okt-81;6.5;Y
1981-11-01 00:00;nov-81;1.6;Y
1981-12-01 00:00;dec-81;-5.6;Y
1982-01-01 00:00;jan-82;-7.0;Y
1982-02-01 00:00;feb-82;-3.7;Y
1982-03-01 00:00;mars-82;2.0;Y
1982-04-01 00:00;apr-82;4.7;Y
1982-05-01 00:00;maj-82;10.5;Y
1982-06-01 00:00;juni-82;13.4;Y
1982-07-01 00:00;juli-82;18.0;Y
1982-08-01 00:00;aug-82;17.0;Y
1982-09-01 00:00;sep-82;12.1;Y
1982-10-01 00:00;okt-82;7.8;Y
1982-11-01 00:00;nov-82;4.7;Y
1982-12-01 00:00;dec-82;0.6;Y
1983-01-01 00:00;jan-83;1.6;Y
1983-02-01 00:00;feb-83;-3.6;Y
1983-03-01 00:00;mars-83;0.7;Y
1983-04-01 00:00;apr-83;4.7;Y
1983-05-01 00:00;maj-83;11.1;Y
1983-06-01 00:00;juni-83;14.9;Y
1983-07-01 00:00;juli-83;18.3;Y
1983-08-01 00:00;aug-83;17.4;Y
1983-09-01 00:00;sep-83;12.6;Y
1983-10-01 00:00;okt-83;7.9;Y
1983-11-01 00:00;nov-83;1.8;Y
1983-12-01 00:00;dec-83;-0.6;Y
1984-01-01 00:00;jan-84;-2.3;Y
1984-02-01 00:00;feb-84;-1.1;Y
1984-03-01 00:00;mars-84;-1.0;Y
1984-04-01 00:00;apr-84;5.9;Y
1984-05-01 00:00;maj-84;12.1;Y
1984-06-01 00:00;juni-84;14.3;Y
1984-07-01 00:00;juli-84;16.2;Y
1984-08-01 00:00;aug-84;16.6;Y
1984-09-01 00:00;sep-84;10.9;Y
1984-10-01 00:00;okt-84;9.2;Y
1984-11-01 00:00;nov-84;4.3;Y
1984-12-01 00:00;dec-84;1.5;Y
1985-01-01 00:00;jan-85;-8.1;Y
1985-02-01 00:00;feb-85;-11.6;Y
1985-03-01 00:00;mars-85;-0.5;Y
1985-04-01 00:00;apr-85;2.6;Y
1985-05-01 00:00;maj-85;10.1;Y
1985-06-01 00:00;juni-85;14.4;Y
1985-07-01 00:00;juli-85;16.7;Y
1985-08-01 00:00;aug-85;15.7;Y
1985-09-01 00:00;sep-85;10.4;Y
1985-10-01 00:00;okt-85;8.0;Y
1985-11-01 00:00;nov-85;0.8;Y
1985-12-01 00:00;dec-85;-4.4;Y
1986-01-01 00:00;jan-86;-4.5;Y
1986-02-01 00:00;feb-86;-8.2;Y
1986-03-01 00:00;mars-86;0.9;Y
1986-04-01 00:00;apr-86;3.1;Y
1986-05-01 00:00;maj-86;11.9;Y
1986-06-01 00:00;juni-86;15.7;Y
1986-07-01 00:00;juli-86;16.7;Y
1986-08-01 00:00;aug-86;14.0;Y
1986-09-01 00:00;sep-86;8.9;Y
1986-10-01 00:00;okt-86;7.3;Y
1986-11-01 00:00;nov-86;5.0;Y
1986-12-01 00:00;dec-86;-0.8;Y
1987-01-01 00:00;jan-87;-11.5;Y
1987-02-01 00:00;feb-87;-3.5;Y
1987-03-01 00:00;mars-87;-3.6;Y
1987-04-01 00:00;apr-87;4.8;Y
1987-05-01 00:00;maj-87;8.8;Y
1987-06-01 00:00;juni-87;12.4;Y
1987-07-01 00:00;juli-87;16.2;Y
1987-08-01 00:00;aug-87;13.4;Y
1987-09-01 00:00;sep-87;10.7;Y
1987-10-01 00:00;okt-87;8.6;Y
1987-11-01 00:00;nov-87;2.9;Y
1987-12-01 00:00;dec-87;-1.0;Y
1988-01-01 00:00;jan-88;0.8;Y
1988-02-01 00:00;feb-88;0.1;Y
1988-03-01 00:00;mars-88;-1.1;Y
1988-05-01 00:00;maj-88;11.9;Y
1988-06-01 00:00;juni-88;16.1;Y
1988-07-01 00:00;juli-88;17.7;Y
1988-08-01 00:00;aug-88;15.4;Y
1988-09-01 00:00;sep-88;13.0;Y
1988-10-01 00:00;okt-88;6.4;Y
1988-11-01 00:00;nov-88;-0.7;Y
1988-12-01 00:00;dec-88;-2.1;Y
1989-01-01 00:00;jan-89;3.4;Y
1989-02-01 00:00;feb-89;3.3;Y
1989-03-01 00:00;mars-89;3.6;Y
1989-04-01 00:00;apr-89;5.6;Y
1989-05-01 00:00;maj-89;12.3;Y
1989-06-01 00:00;juni-89;15.8;Y
1989-07-01 00:00;juli-89;17.7;Y
1989-08-01 00:00;aug-89;15.6;Y
1989-09-01 00:00;sep-89;13.0;Y
1989-10-01 00:00;okt-89;7.9;Y
1989-11-01 00:00;nov-89;2.6;Y
1989-12-01 00:00;dec-89;-1.7;Y
1990-01-01 00:00;jan-90;1.4;Y
1990-02-01 00:00;feb-90;4.3;Y
1990-03-01 00:00;mars-90;5.2;Y
1990-04-01 00:00;apr-90;7.4;Y
1990-05-01 00:00;maj-90;12.2;Y
1990-06-01 00:00;juni-90;15.4;Y
1990-07-01 00:00;juli-90;16.0;Y
1990-08-01 00:00;aug-90;16.8;Y
1990-09-01 00:00;sep-90;10.8;Y
1990-10-01 00:00;okt-90;7.6;Y
1990-11-01 00:00;nov-90;2.2;Y
1990-12-01 00:00;dec-90;1.2;Y
1991-01-01 00:00;jan-91;0.0;Y
1991-02-01 00:00;feb-91;-2.2;Y
1991-03-01 00:00;mars-91;2.5;Y
1991-04-01 00:00;apr-91;5.6;Y
1991-05-01 00:00;maj-91;8.5;Y
1991-06-01 00:00;juni-91;12.0;Y
1991-07-01 00:00;juli-91;18.4;Y
1991-08-01 00:00;aug-91;17.4;Y
1991-09-01 00:00;sep-91;11.8;Y
1991-10-01 00:00;okt-91;7.7;Y
1991-11-01 00:00;nov-91;3.9;Y
1991-12-01 00:00;dec-91;1.1;Y
1992-01-01 00:00;jan-92;1.2;Y
1992-02-01 00:00;feb-92;0.9;Y
1992-03-01 00:00;mars-92;2.9;Y
1992-04-01 00:00;apr-92;3.7;Y
1992-05-01 00:00;maj-92;13.2;Y
1992-06-01 00:00;juni-92;17.5;Y
1992-07-01 00:00;juli-92;17.5;Y
1992-08-01 00:00;aug-92;16.1;Y
1992-09-01 00:00;sep-92;11.9;Y
1992-10-01 00:00;okt-92;4.3;Y
1992-11-01 00:00;nov-92;2.7;Y
1992-12-01 00:00;dec-92;1.1;Y
1993-01-01 00:00;jan-93;0.2;Y
1993-02-01 00:00;feb-93;-0.0;Y
1993-03-01 00:00;mars-93;2.0;Y
1993-04-01 00:00;apr-93;5.9;Y
1993-05-01 00:00;maj-93;13.6;Y
1993-06-01 00:00;juni-93;12.9;Y
1993-07-01 00:00;juli-93;16.0;Y
1993-08-01 00:00;aug-93;13.9;Y
1993-09-01 00:00;sep-93;9.3;Y
1993-10-01 00:00;okt-93;6.2;Y
1993-11-01 00:00;nov-93;1.4;Y
1993-12-01 00:00;dec-93;0.0;Y
1994-01-01 00:00;jan-94;-1.4;Y
1994-02-01 00:00;feb-94;-6.2;Y
1994-03-01 00:00;mars-94;0.8;Y
1994-04-01 00:00;apr-94;6.6;Y
1994-05-01 00:00;maj-94;9.6;Y
1994-06-01 00:00;juni-94;13.8;Y
1994-07-01 00:00;juli-94;20.3;Y
1994-08-01 00:00;aug-94;16.9;Y
1994-09-01 00:00;sep-94;12.0;Y
1994-10-01 00:00;okt-94;6.2;Y
1994-11-01 00:00;nov-94;3.2;Y
1994-12-01 00:00;dec-94;2.1;Y
1995-01-01 00:00;jan-95;-2.0;Y
1995-02-01 00:00;feb-95;0.9;Y
1995-03-01 00:00;mars-95;2.2;Y
1995-04-01 00:00;apr-95;4.3;Y
1995-05-01 00:00;maj-95;8.9;Y
1995-06-01 00:00;juni-95;15.6;Y
1995-07-01 00:00;juli-95;17.3;Y
1995-08-01 00:00;aug-95;17.7;Y
1995-09-01 00:00;sep-95;12.1;Y
1995-12-01 00:00;dec-95;-5.7;Y
1996-01-01 00:00;jan-96;-4.0;Y
1996-02-01 00:00;feb-96;-7.3;Y
1996-03-01 00:00;mars-96;-1.3;Y
1996-04-01 00:00;apr-96;5.3;Y
1996-05-01 00:00;maj-96;8.3;Y
1996-06-01 00:00;juni-96;14.6;Y
1996-07-01 00:00;juli-96;15.2;Y
1996-08-01 00:00;aug-96;18.5;Y
1996-09-01 00:00;sep-96;9.6;Y
1996-10-01 00:00;okt-96;7.7;Y
1996-11-01 00:00;nov-96;3.0;Y
1996-12-01 00:00;dec-96;-3.2;Y
1997-01-01 00:00;jan-97;-2.5;Y
1997-02-01 00:00;feb-97;0.0;Y
1997-03-01 00:00;mars-97;2.1;Y
1997-04-01 00:00;apr-97;3.6;Y
1997-05-01 00:00;maj-97;8.8;Y
1997-06-01 00:00;juni-97;15.9;Y
1997-07-01 00:00;juli-97;18.6;Y
1997-08-01 00:00;aug-97;20.1;Y
1997-09-01 00:00;sep-97;12.3;Y
1997-10-01 00:00;okt-97;4.7;Y
1997-11-01 00:00;nov-97;2.0;Y
1997-12-01 00:00;dec-97;0.1;Y
1998-01-01 00:00;jan-98;0.2;Y
1998-02-01 00:00;feb-98;2.0;Y
1998-03-01 00:00;mars-98;-0.5;Y
1998-04-01 00:00;apr-98;4.2;Y
1998-05-01 00:00;maj-98;10.3;Y
1998-06-01 00:00;juni-98;13.3;Y
1998-07-01 00:00;juli-98;16.1;Y
1998-08-01 00:00;aug-98;14.6;Y
1998-09-01 00:00;sep-98;12.6;Y
1998-10-01 00:00;okt-98;6.2;Y
1998-11-01 00:00;nov-98;-0.5;Y
1998-12-01 00:00;dec-98;-0.2;Y
1999-01-01 00:00;jan-99;-1.9;Y
1999-02-01 00:00;feb-99;-2.1;Y
1999-03-01 00:00;mars-99;1.4;Y
1999-04-01 00:00;apr-99;7.3;Y
1999-05-01 00:00;maj-99;9.4;Y
1999-06-01 00:00;juni-99;16.3;Y
1999-07-01 00:00;juli-99;19.1;Y
1999-08-01 00:00;aug-99;15.8;Y
1999-09-01 00:00;sep-99;14.6;Y
1999-10-01 00:00;okt-99;7.6;Y
1999-11-01 00:00;nov-99;4.2;Y
1999-12-01 00:00;dec-99;-1.7;Y
2000-01-01 00:00;jan-00;-0.7;Y
2000-02-01 00:00;feb-00;0.0;Y
2000-03-01 00:00;mars-00;1.5;Y
2000-04-01 00:00;apr-00;6.7;Y
2000-05-01 00:00;maj-00;11.7;Y
2000-06-01 00:00;juni-00;14.1;Y
2000-07-01 00:00;juli-00;16.0;Y
2000-08-01 00:00;aug-00;15.4;Y
2000-09-01 00:00;sep-00;10.1;Y
2000-10-01 00:00;okt-00;10.1;Y
2000-11-01 00:00;nov-00;6.3;Y
2000-12-01 00:00;dec-00;2.1;Y
2001-01-01 00:00;01-jan;-0.8;Y
2001-02-01 00:00;01-feb;-3.6;Y
2001-03-01 00:00;01-mars;-1.2;Y
2001-04-01 00:00;01-apr;5.6;Y
2001-05-01 00:00;01-maj;10.8;Y
2001-06-01 00:00;01-juni;15.2;Y
2001-07-01 00:00;01-juli;19.5;Y
2001-08-01 00:00;01-aug;16.4;Y
2001-09-01 00:00;01-sep;11.9;Y
2001-10-01 00:00;01-okt;9.6;Y
2001-11-01 00:00;01-nov;2.8;Y
2001-12-01 00:00;01-dec;-1.6;Y
2002-01-01 00:00;02-jan;-0.7;Y
2002-02-01 00:00;02-feb;1.3;Y
2002-03-01 00:00;02-mars;2.2;Y
2002-04-01 00:00;02-apr;6.2;Y
2002-05-01 00:00;02-maj;11.9;Y
2002-06-01 00:00;02-juni;16.7;Y
2002-07-01 00:00;02-juli;18.3;Y
2002-08-01 00:00;02-aug;19.4;Y
2002-09-01 00:00;02-sep;12.2;Y
2002-10-01 00:00;02-okt;3.5;Y
2002-11-01 00:00;02-nov;0.6;Y
2002-12-01 00:00;02-dec;-4.5;Y
2003-01-01 00:00;03-jan;-3.8;Y
2003-02-01 00:00;03-feb;-4.4;Y
2003-03-01 00:00;03-mars;2.5;Y
2003-04-01 00:00;03-apr;4.1;Y
2003-05-01 00:00;03-maj;11.3;Y
2003-06-01 00:00;03-juni;15.5;Y
2003-07-01 00:00;03-juli;20.1;Y
2003-08-01 00:00;03-aug;16.9;Y
2003-09-01 00:00;03-sep;12.2;Y
2003-10-01 00:00;03-okt;4.2;Y
2003-11-01 00:00;03-nov;3.9;Y
2003-12-01 00:00;03-dec;0.7;Y
2004-01-01 00:00;04-jan;-4.1;Y
2004-02-01 00:00;04-feb;-1.6;Y
2004-03-01 00:00;04-mars;1.2;Y
2004-04-01 00:00;04-apr;6.0;Y
2004-05-01 00:00;04-maj;10.4;Y
2004-06-01 00:00;04-juni;13.9;Y
2004-07-01 00:00;04-juli;16.3;Y
2004-08-01 00:00;04-aug;17.5;Y
2004-09-01 00:00;04-sep;12.4;Y
2004-10-01 00:00;04-okt;6.8;Y
2004-11-01 00:00;04-nov;0.6;Y
2004-12-01 00:00;04-dec;0.6;Y
2005-01-01 00:00;05-jan;0.6;Y
2005-02-01 00:00;05-feb;-2.4;Y
2005-03-01 00:00;05-mars;-2.9;Y
2005-04-01 00:00;05-apr;5.9;Y
2005-05-01 00:00;05-maj;9.9;Y
2005-06-01 00:00;05-juni;14.3;Y
2005-07-01 00:00;05-juli;18.2;Y
2005-08-01 00:00;05-aug;15.9;Y
2005-09-01 00:00;05-sep;12.5;Y
2005-10-01 00:00;05-okt;7.8;Y
2005-11-01 00:00;05-nov;3.7;Y
2005-12-01 00:00;05-dec;-0.8;Y
2006-01-01 00:00;06-jan;-3.3;Y
2006-02-01 00:00;06-feb;-3.6;Y
2006-03-01 00:00;06-mars;-4.4;Y
2006-04-01 00:00;06-apr;4.6;Y
2006-05-01 00:00;06-maj;10.6;Y
2006-06-01 00:00;06-juni;16.0;Y
2006-07-01 00:00;06-juli;19.8;Y
2006-08-01 00:00;06-aug;17.7;Y
2006-09-01 00:00;06-sep;14.4;Y
2006-10-01 00:00;06-okt;8.8;Y
2006-11-01 00:00;06-nov;4.1;Y
2006-12-01 00:00;06-dec;4.0;Y
2007-01-01 00:00;07-jan;-0.2;Y
2007-02-01 00:00;07-feb;-3.5;Y
2007-03-01 00:00;07-mars;3.8;Y
2007-04-01 00:00;07-apr;7.1;Y
2007-05-01 00:00;07-maj;10.9;Y
2007-06-01 00:00;07-juni;15.8;Y
2007-07-01 00:00;07-juli;16.2;Y
2007-08-01 00:00;07-aug;17.2;Y
2007-09-01 00:00;07-sep;11.3;Y
2007-10-01 00:00;07-okt;6.5;Y
2007-11-01 00:00;07-nov;1.5;Y
2007-12-01 00:00;07-dec;1.0;Y
2008-01-01 00:00;08-jan;1.8;Y
2008-02-01 00:00;08-feb;2.2;Y
2008-03-01 00:00;08-mars;1.2;Y
2008-04-01 00:00;08-apr;6.6;Y
2008-05-01 00:00;08-maj;11.2;Y
2008-06-01 00:00;08-juni;15.6;Y
2008-07-01 00:00;08-juli;17.8;Y
2008-08-01 00:00;08-aug;15.4;Y
2008-09-01 00:00;08-sep;10.5;Y
2008-10-01 00:00;08-okt;7.3;Y
2008-11-01 00:00;08-nov;2.4;Y
2008-12-01 00:00;08-dec;0.5;Y
2009-01-01 00:00;09-jan;-2.2;Y
2009-02-01 00:00;09-feb;-2.9;Y
2009-03-01 00:00;09-mars;0.4;Y
2009-04-01 00:00;09-apr;7.3;Y
2009-05-01 00:00;09-maj;11.2;Y
2009-06-01 00:00;09-juni;13.5;Y
2009-07-01 00:00;09-juli;17.2;Y
2009-08-01 00:00;09-aug;16.5;Y
2009-09-01 00:00;09-sep;12.8;Y
2009-10-01 00:00;09-okt;4.9;Y
2009-11-01 00:00;09-nov;4.9;Y
2009-12-01 00:00;09-dec;-2.8;Y
2010-01-01 00:00;10-jan;-8.1;Y
2010-02-01 00:00;10-feb;-6.1;Y
2010-03-01 00:00;10-mars;-0.9;Y
2010-04-01 00:00;10-apr;5.3;Y
2010-05-01 00:00;10-maj;11.2;Y
2010-06-01 00:00;10-juni;15.0;Y
2010-07-01 00:00;10-juli;20.2;Y
2010-08-01 00:00;10-aug;16.5;Y
2010-09-01 00:00;10-sep;11.1;Y
2010-10-01 00:00;10-okt;5.0;Y
2010-11-01 00:00;10-nov;-0.6;Y
2010-12-01 00:00;10-dec;-7.4;Y
2011-01-01 00:00;11-jan;-2.8;Y
2011-02-01 00:00;11-feb;-5.6;Y
2011-03-01 00:00;11-mars;0.6;Y
2011-04-01 00:00;11-apr;8.3;Y
2011-05-01 00:00;11-maj;10.9;Y
2011-06-01 00:00;11-juni;16.9;Y
2011-07-01 00:00;11-juli;18.9;Y
2011-08-01 00:00;11-aug;16.3;Y
2011-09-01 00:00;11-sep;13.1;Y
2011-10-01 00:00;11-okt;7.6;Y
2011-11-01 00:00;11-nov;5.2;Y
2011-12-01 00:00;11-dec;1.7;Y
2012-01-01 00:00;12-jan;-2.1;Y
2012-02-01 00:00;12-feb;-3.9;Y
2012-03-01 00:00;12-mars;4.1;Y
2012-04-01 00:00;12-apr;4.5;Y
2012-05-01 00:00;12-maj;11.5;Y
2012-06-01 00:00;12-juni;13.2;Y
2012-07-01 00:00;12-juli;17.2;Y
2012-08-01 00:00;12-aug;15.9;Y
2012-09-01 00:00;12-sep;11.7;Y
2012-10-01 00:00;12-okt;6.0;Y
2012-11-01 00:00;12-nov;3.7;Y
