Komuner;Andel kvinna inrikes
1;26,59250538
1;27,25890218
1;31,34030689
1;26,69134899
1;27,6152586
1;29,87329602
1;20,26130092
1;14,8873489
1;27,66251729
1;22,52183082
1;29,6663551
1;20,092299
1;19,71879287
1;31,54238258
1;37,62388352
1;24,26643231
1;25,97618883
1;23,04102474
1;25,02603073
1;24,78268911
1;29,13984786
1;30,55830856
1;26,89301622
1;43,91114093
1;19,08396947
1;39,94274873
1;31,62749835
1;50,90909091
1;24,33815129
1;44,37972401
1;50,92030272
1;28,86759726
1;35,32018057
1;52,81059792
1;40,08462309
1;37,89183603
1;43,94960445
1;49,64421645
1;55,42408768
1;51,72812392
1;35,8605608
1;37,89648549
1;37,9403794
1;47,01899567
1;57,01873473
1;67,54072308
1;54,56529647
1;46,06292369
1;50,67798932
1;74,7051114
1;34,73867993
1;39,96692393
1;48,5371444
1;44,13648006
1;84,21334046
1;37,2308665
1;29,30832356
1;38,14367451
1;38,5023898
1;22,85191956
1;41,04338387
1;45,10569544
1;36,66083217
1;50,08765339
1;38,04911795
1;46,72500212
1;47,33856105
1;52,07750028
1;55,83918315
1;53,08982799
1;36,53506187
1;64,24331138
1;44,42908624
1;50,29847446
1;53,11823726
1;33,2520049
1;53,36516519
1;59,0974212
1;68,16245385
1;41,91429465
1;52,61660978
1;50,46700813
1;65,26158126
1;38,04604404
1;54,17918534
1;50,31818855
1;61,39154161
1;58,49456836
1;66,31666206
1;43,64670688
1;52,43559541
1;46,03941094
1;55,88124379
1;62,39135833
1;60,52301016
1;26,95976773
1;36,22376578
1;32,69288804
1;40,18931282
1;58,31103794
1;52,60640842
1;36,11007347
1;31,10563597
1;36,81080862
1;35,64067331
1;38,85003885
1;57,29779506
1;50,26084744
1;45,09452506
1;47,06052708
1;49,07781208
1;59,67668832
1;56,43644182
1;50,93758746
1;33,65767089
1;46,76440849
1;28,65321495
1;29,83237787
1;35,10339546
1;37,62212287
1;51,59591503
1;34,86931212
1;62,74831305
1;43,94520783
1;43,81009477
1;70,77697389
1;46,08294931
1;54,80341423
1;46,82721713
1;42,22619546
1;44,77892756
1;50,40729949
1;43,95280236
1;38,4610902
1;29,17358282
1;28,10398474
1;45,3125
1;33,72802296
1;36,86635945
1;60,33084658
1;56,76855895
1;54,83078087
1;69,16160762
1;58,06451613
1;49,14004914
1;30,86991418
1;28,02278574
1;38,31105315
1;34,01009997
1;56,67729366
1;48,97673605
1;53,84724387
1;73,16134001
1;42,71356784
1;76,71528903
1;56,13732052
1;38,1203216
1;42,45803731
1;45,30325444
1;39,92854891
1;45,78357978
1;49,71751412
1;44,74076673
1;50,07620292
1;28,13144539
1;28,52700794
1;40,75976196
1;71,98306281
1;46,78607591
1;49,66139955
1;45,10825982
1;40,3212201
1;44,07687386
1;36,96098563
1;43,01417875
1;49,11591356
1;56,5245478
1;46,96344267
1;42,12210077
1;40,37380575
1;57,34069025
1;43,61710414
1;50,82401059
1;44,57284358
1;37,49267721
1;57,83892735
1;56,67181865
1;42,80618312
1;67,549311
1;45,77647262
1;47,22679846
1;45,39035707
1;47,69712327
1;43,74598304
1;59,4520434
1;58,16771692
1;69,89386487
1;60,39021369
1;55,76695972
1;30,83599817
1;69,94261119
1;42,3572744
1;45,12067156
1;79,62740385
1;46,49103387
1;34,2281582
1;34,2541928
1;50,44794294
1;50,53173922
1;41,11765256
1;52,91231065
1;45,43389368
1;51,82896442
1;35,38005022
1;40,69175992
1;55,09152301
1;34,22563708
1;49,17105435
1;60,71508882
1;51,30168453
1;52,54562238
1;67,64705882
1;53,61668941
1;38,09886656
1;50,26996835
1;70,32095204
1;54,80242284
1;76,94499858
1;51,27266068
1;55,12839112
1;39,78735498
1;40,82180229
1;46,1361015
1;49,86077835
1;51,02040816
1;52,74541798
1;65,28087957
1;53,84290541
1;54,20753743
1;43,21703384
1;69,78850354
1;44,35082566
1;57,03616553
1;70,47272151
1;70,98858173
1;54,12863511
1;69,99890627
1;47,87653487
1;57,88013988
1;50,62348406
1;67,02412869
1;78,74859378
1;57,41850712
1;86,97332818
1;47,062642
1;48,93123873
1;65,80679126
1;21,89781022
1;69,67670011
1;68,72852234
1;47,28497698
1;75,00707614
1;113,8279933
1;89,02616279
1;62,13936973
1;88,67494299
1;75,83250907
1;66,12145467
1;86,20689655
1;111,893908
1;49,09070624
1;79,77475364
1;79,07979871
1;36,37463606
1;75,96177407
1;56,58450042
1;76,91048928
1;59,99250094
1;48,31932773
1;129,7468354
1;67,39144256
1;46,1277009
1;74,7917729
1;55,68312285
1;70,78751106
1;47,0698097
1;49,33666966
1;52,76668568
1;26,76659529
1;53,07050796
