Datum;Representativ;Lufttemperatur;Kvalitet
2021-12-01;21-dec;-0.3;Y
2022-01-01;22-jan;1.6;Y
2022-02-01;22-feb;1.8;Y
2022-03-01;22-mars;2.0;Y
2022-04-01;22-apr;4.4;Y
2022-05-01;22-maj;9.5;Y
2022-06-01;22-juni;16.8;Y
2022-07-01;22-juli;18.1;Y
2022-08-01;22-aug;19.1;Y
2022-09-01;22-sep;11.8;Y
2022-10-01;22-okt;10.9;Y
2022-11-01;22-nov;5.5;Y
2022-12-01;22-dec;0.8;Y
