Andel män inrikes;Andel män utrikes;Andel kvinna inrikes;Andel kvinna utrikes
35,83241455;2,986034546;28,02278574;5,972069092
40,75643952;5,705901532;38,31105315;4,890772742
35,04070906;7,21426363;34,01009997;5,15304545
60,21962451;5,313496281;56,67729366;8,855827134
68,21759664;3,498338289;48,97673605;3,498338289
63,76647301;5,668130934;53,84724387;1,417032733
86,63842896;3,850596843;73,16134001;9,626492106
47,73869347;5,025125628;42,71356784;10,88777219
70,23230686;10,80497029;76,71528903;5,402485143
61,5351398;7,556946993;56,13732052;5,397819281
41,58580538;10,39645134;38,1203216;5,54477405
51,23269835;6,510232387;42,45803731;5,094964477
45,30325444;8,321005917;45,30325444;7,396449704
55,68981822;5,253756436;39,92854891;3,152253862
54,44533812;4,330879168;45,78357978;3,712182144
47,45762712;3,766478343;49,71751412;7,532956685
45,61803667;4,38634968;44,74076673;5,263619616
54,43065535;3,265839321;50,07620292;8,708904855
26,0873499;8,729293061;28,13144539;8,10936246
27,24329259;4,564321271;28,52700794;5,990671668
35,05339529;3,056982147;40,75976196;2,445585718
64,92589979;4,234297812;71,98306281;4,940014114
42,07255333;6,110121853;46,78607591;4,538947662
58,69074492;9,029345372;49,66139955;15,04890895
51,12269447;5,7638332;45,10825982;5,262630313
47,06954145;7,423153491;40,3212201;5,567365118
46,6835707;2,606696841;44,07687386;5,687338563
37,04836384;8,300930578;36,96098563;10,57276421
45,00557591;4,779353194;43,01417875;4,381073761
63,85068762;8,185985593;49,11591356;11,46037983
56,5245478;6,86369509;56,5245478;7,26744186
47,95214672;4,449168253;46,96344267;3,460464197
46,92082111;7,997867235;42,12210077;4,265529192
36,89330526;5,742825818;40,37380575;6,438925918
49,76739154;6,491398896;57,34069025;5,40949908
52,18474959;2,336630579;43,61710414;3,894384298
52,92914712;4,811740647;50,82401059;5,413208228
60,25588114;0,825423029;44,57284358;0
33,97773872;16,40304628;37,49267721;10,54481547
76,24222242;8,763473841;57,83892735;9,639821225
64,39979392;10,30396703;56,67181865;23,18392581
41,61712247;4,756242568;42,80618312;5,94530321
72,95325588;5,40394488;67,549311;10,80788976
34,54828122;4,318535153;45,77647262;1,727414061
59,30807249;4,393190555;47,22679846;2,196595277
34,29493645;10,08674602;45,39035707;13,11276982
52,91399612;2,235802653;47,69712327;2,981070204
39,1847905;3,109904008;43,74598304;2,591586673
56,95755207;5,820479774;59,4520434;7,89922255
