Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Visby Flygplats;78400;SMHIs stationsnät;2.0
;;;
;;;
Från Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1983-09-01 00:00;sep-83;13.3;Y
1983-10-01 00:00;okt-83;8.9;Y
1983-11-01 00:00;nov-83;3.2;Y
1983-12-01 00:00;dec-83;1.1;Y
1984-01-01 00:00;jan-84;0.1;Y
1984-02-01 00:00;feb-84;-1.5;Y
1984-03-01 00:00;mars-84;-0.3;Y
1984-04-01 00:00;apr-84;5.5;Y
1984-05-01 00:00;maj-84;11.5;Y
1984-06-01 00:00;juni-84;13.5;Y
1984-07-01 00:00;juli-84;15.4;Y
1984-08-01 00:00;aug-84;16.6;Y
1984-09-01 00:00;sep-84;11.3;Y
1984-10-01 00:00;okt-84;10.0;Y
1984-11-01 00:00;nov-84;4.2;Y
1984-12-01 00:00;dec-84;1.7;Y
1985-01-01 00:00;jan-85;-4.8;Y
1985-02-01 00:00;feb-85;-7.4;Y
1985-03-01 00:00;mars-85;-0.5;Y
1985-04-01 00:00;apr-85;2.3;Y
1985-05-01 00:00;maj-85;9.9;Y
1985-06-01 00:00;juni-85;12.8;Y
1985-07-01 00:00;juli-85;15.7;Y
1985-08-01 00:00;aug-85;15.5;Y
1985-09-01 00:00;sep-85;11.0;Y
1985-10-01 00:00;okt-85;8.7;Y
1985-11-01 00:00;nov-85;1.7;Y
1985-12-01 00:00;dec-85;-0.3;Y
1986-01-01 00:00;jan-86;-2.2;Y
1986-02-01 00:00;feb-86;-6.0;Y
1986-03-01 00:00;mars-86;0.4;Y
1986-04-01 00:00;apr-86;3.3;Y
1986-05-01 00:00;maj-86;11.3;Y
1986-06-01 00:00;juni-86;14.2;Y
1986-07-01 00:00;juli-86;16.9;Y
1986-08-01 00:00;aug-86;14.9;Y
1986-09-01 00:00;sep-86;10.2;Y
1986-10-01 00:00;okt-86;7.9;Y
1986-11-01 00:00;nov-86;5.9;Y
1986-12-01 00:00;dec-86;0.7;Y
1987-01-01 00:00;jan-87;-6.5;Y
1987-02-01 00:00;feb-87;-2.2;Y
1987-03-01 00:00;mars-87;-3.6;Y
1987-04-01 00:00;apr-87;4.1;Y
1987-05-01 00:00;maj-87;7.7;Y
1987-06-01 00:00;juni-87;12.0;Y
1987-07-01 00:00;juli-87;15.4;Y
1987-08-01 00:00;aug-87;13.9;Y
1987-09-01 00:00;sep-87;11.3;Y
1987-10-01 00:00;okt-87;8.9;Y
1987-11-01 00:00;nov-87;4.1;Y
1987-12-01 00:00;dec-87;1.6;Y
1988-01-01 00:00;jan-88;1.2;Y
1988-02-01 00:00;feb-88;0.8;Y
1988-03-01 00:00;mars-88;-0.4;Y
1988-04-01 00:00;apr-88;3.4;Y
1988-05-01 00:00;maj-88;11.0;Y
1988-06-01 00:00;juni-88;14.4;Y
1988-07-01 00:00;juli-88;17.7;Y
1988-08-01 00:00;aug-88;15.9;Y
1988-09-01 00:00;sep-88;13.5;Y
1988-10-01 00:00;okt-88;7.1;Y
1988-11-01 00:00;nov-88;1.5;Y
1988-12-01 00:00;dec-88;0.2;Y
1989-01-01 00:00;jan-89;3.2;Y
1989-02-01 00:00;feb-89;3.0;Y
1989-03-01 00:00;mars-89;3.2;Y
1989-04-01 00:00;apr-89;5.2;Y
1989-05-01 00:00;maj-89;11.4;Y
1989-06-01 00:00;juni-89;14.3;Y
1989-07-01 00:00;juli-89;17.0;Y
1989-08-01 00:00;aug-89;15.3;Y
1989-09-01 00:00;sep-89;13.1;Y
1989-10-01 00:00;okt-89;9.0;Y
1989-11-01 00:00;nov-89;4.1;Y
1989-12-01 00:00;dec-89;0.9;Y
1990-01-01 00:00;jan-90;2.6;Y
1990-02-01 00:00;feb-90;4.3;Y
1990-03-01 00:00;mars-90;4.3;Y
1990-04-01 00:00;apr-90;7.0;Y
1990-05-01 00:00;maj-90;10.6;Y
1990-06-01 00:00;juni-90;14.5;Y
1990-07-01 00:00;juli-90;15.3;Y
1990-08-01 00:00;aug-90;16.8;Y
1990-09-01 00:00;sep-90;11.1;Y
1990-10-01 00:00;okt-90;8.2;Y
1990-11-01 00:00;nov-90;4.2;Y
1990-12-01 00:00;dec-90;2.0;Y
1991-01-01 00:00;jan-91;1.5;Y
1991-02-01 00:00;feb-91;-1.4;Y
1991-03-01 00:00;mars-91;2.2;Y
1991-04-01 00:00;apr-91;4.9;Y
1991-05-01 00:00;maj-91;7.5;Y
1991-06-01 00:00;juni-91;11.5;Y
1991-07-01 00:00;juli-91;17.5;Y
1991-08-01 00:00;aug-91;17.4;Y
1991-09-01 00:00;sep-91;12.3;Y
1991-10-01 00:00;okt-91;8.3;Y
